file,line,snippet
src/components/accounting/personal/PersonalIncome.tsx,62,await supabase.from('accounting_ledger').insert({
src/components/ambassador/AmbassadorFieldSession.tsx,109,await supabase.from('location_events').insert({
src/components/ambassador/AmbassadorFieldSession.tsx,118,".update({ last_ping_at: ts, last_lat: lat, last_lng: lng })"
src/components/ambassador/AmbassadorFieldSession.tsx,196,".update({ ended_at: new Date().toISOString(), ended_reason: reason })"
src/components/betting/CapperGradingDashboard.tsx,112,.update({ matched_prop_id: propId })
src/components/betting/CapperGradingDashboard.tsx,115,".update({ result: 'matched', match_details: { ...(reviewItems.find((r: any) => r.id === logId)?.match_details || {}), ma"
src/components/betting/CapperGradingDashboard.tsx,120,".update({ result: 'rejected', match_details: { ...(reviewItems.find((r: any) => r.id === logId)?.match_details || {}), m"
src/components/betting/CapperPicksFeed.tsx,199,"await (supabase as any).from('sbo_capper_picks').update({ result }).eq('id', id);"
src/components/betting/CapperPicksFeed.tsx,208,"await (supabase as any).from('sbo_capper_picks').update({ result }).eq('id', pickId);"
src/components/brandaro/AIApprovalDrawer.tsx,88,".update({ status: ""sent"", sent_at: new Date().toISOString() })"
src/components/brandaro/AIApprovalDrawer.tsx,113,".update({ status: ""rejected"" })"
src/components/brandaro/AITakeoverToggle.tsx,32,.update({ ai_paused: newPaused })
src/components/brandaro/AITakeoverToggle.tsx,54,"await (supabase as any).from(""brandaro_pending_messages"").insert({"
src/components/brandaro/BrandaroLeadCard.tsx,149,.update({ ai_paused: !aiPaused })
src/components/brandaro/BuildDemoModal.tsx,65,.update({ demo_url: urlInput })
src/components/brandaro/BuildDemoModal.tsx,203,.insert({
src/components/brandaro/ConversationThread.tsx,143,"await (supabase as any).from(""brandaro_conversations"").insert({"
src/components/communication/CallSmsPanel.tsx,47,await supabase.from('outreach_sms').insert({
src/components/communication/ManualCallActions.tsx,211,await (supabase as any).from('call_dispositions').insert({
src/components/communication/ManualCampaignCallModal.tsx,281,.insert({
src/components/communication/ManualCampaignCallModal.tsx,352,".update({ twilio_call_sid: sid, updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,550,".update({ status: ""dialing"", dialing_started_at: new Date().toISOString(), updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,581,".update({ status: ""connected"", updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,604,".update({ status, updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,623,".update({ status: ""failed"", updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,664,".update({ status: ""completed"", updated_at: new Date().toISOString() })"
src/components/communication/ManualCampaignCallModal.tsx,771,".update({ status: ""no_answer"", updated_at: new Date().toISOString() })"
src/components/communication/TemplateSelector.tsx,56,.update({
src/components/communication/UnifiedCallActions.tsx,167,".update({ status, completed_at: new Date().toISOString() })"
src/components/communication/UnifiedCallActions.tsx,243,.insert({
src/components/communication/UnifiedCallActions.tsx,269,await (supabase as any).from('call_dispositions').insert({
src/components/crm/AdvancedContactModal.tsx,426,.insert(storeLinks);
src/components/crm/PersonalNotesEditor.tsx,108,.insert({
src/components/delivery/FeedbackReasonModal.tsx,62,await (supabase.from('ai_dispatch_feedback_reasons') as any).insert([{
src/components/delivery/checklist/ContactUpdateSection.tsx,115,.update({
