phase,metro,source_slug,states,completed_jobs,new_leads,first_searched_at,last_searched_at,notes
1,Atlanta,atl_tier1_outer+atl_tier2_middle+atl_tier3_core,GA,126,1055,2026-07-29,2026-07-30,multi-slug metro (atl_tier1_outer+atl_tier2_middle+atl_tier3_core)
1,Austin,austin_metro,TX,36,731,2026-07-31,2026-07-31,
1,Dallas–Fort Worth,dfw_metro,TX,60,1260,2026-07-31,2026-07-31,
1,Houston,houston_metro,TX,48,1059,2026-07-31,2026-07-31,
1,Las Vegas,vegas_metro,NV,30,453,2026-07-31,2026-07-31,
1,Phoenix,phx_metro,AZ,60,889,2026-07-31,2026-07-31,
1,San Antonio,sanantonio_metro,TX,42,570,2026-07-31,2026-07-31,
2,Boston,boston_metro,MA,42,695,2026-08-03,2026-08-03,
2,Charlotte,charlotte_metro,NC,42,542,2026-08-03,2026-08-03,
2,Chicago,chicago_metro,IL,54,978,2026-08-04,2026-08-04,
2,Cincinnati,cincinnati_metro,OH,30,374,2026-08-04,2026-08-04,
2,Cleveland,cleveland_metro,OH,30,470,2026-08-04,2026-08-04,
2,Columbus,columbus_metro,OH,30,382,2026-08-04,2026-08-04,
2,Denver,denver_metro,CO,42,778,2026-08-03,2026-08-03,
2,Detroit,detroit_metro,MI,42,879,2026-08-04,2026-08-04,
2,Inland Empire,inland_empire_metro,CA,48,890,2026-08-04,2026-08-04,
2,Kansas City,kansascity_metro,KS/MO,30,477,2026-08-05,2026-08-05,
2,Los Angeles,la_metro,CA,72,1485,2026-08-03,2026-08-03,
2,Memphis,memphis_metro,TN,24,268,2026-08-05,2026-08-05,
2,Miami,miami_metro,FL,54,1001,2026-08-03,2026-08-03,
2,Milwaukee,milwaukee_metro,WI,30,483,2026-08-04,2026-08-04,
2,Minneapolis–St. Paul,minneapolis_metro,MN,30,543,2026-08-05,2026-08-05,
2,Nashville,nashville_metro,TN,42,547,2026-08-03,2026-08-03,
2,New York City,nyc_metro,NY,60,999,2026-08-04,2026-08-04,
2,North New Jersey,northnj_metro,NJ,48,716,2026-08-04,2026-08-04,
2,Orlando,orlando_metro,FL,48,569,2026-08-03,2026-08-03,
2,Philadelphia,philly_metro,PA,48,595,2026-08-04,2026-08-04,
2,Pittsburgh,pittsburgh_metro,PA,30,362,2026-08-04,2026-08-04,
2,Portland,portland_metro,OR,30,416,2026-08-04,2026-08-04,
2,Raleigh–Durham,raleigh_metro,NC,30,445,2026-08-05,2026-08-05,
2,SF Bay Area,sfbay_metro,CA,54,1101,2026-08-04,2026-08-04,
2,Sacramento,sacramento_metro,CA,42,573,2026-08-04,2026-08-04,
2,Salt Lake City,saltlake_metro,UT,30,503,2026-08-05,2026-08-05,
2,San Diego,sandiego_metro,CA,42,784,2026-08-03,2026-08-03,
2,Seattle,seattle_metro,WA,42,744,2026-08-03,2026-08-03,
2,Tampa,tampa_metro,FL,48,809,2026-08-03,2026-08-03,
2,Washington DC,dc_metro,DC/MD/VA,48,817,2026-08-04,2026-08-04,
3,Bakersfield,bakersfield_metro,CA,18,188,2026-08-05,2026-08-05,
3,Charleston,charleston_metro,SC,24,359,2026-08-05,2026-08-05,
3,Fort Lauderdale,ftlauderdale_metro,FL,36,547,2026-08-05,2026-08-05,
3,Fort Myers / Naples,ftmyers_metro,FL,24,428,2026-08-05,2026-08-05,
3,Fresno,fresno_metro,CA,24,279,2026-08-05,2026-08-05,
3,Honolulu,honolulu_metro,HI,24,240,2026-08-05,2026-08-05,
3,Jacksonville,jacksonville_metro,FL,30,410,2026-08-05,2026-08-05,
3,Long Island,longisland_metro,NY,42,371,2026-08-05,2026-08-05,
3,New Orleans,neworleans_metro,LA,30,464,2026-08-05,2026-08-05,
3,Orange County,orangecounty_metro,CA,42,737,2026-08-05,2026-08-05,
3,San Jose,sanjose_metro,CA,30,303,2026-08-05,2026-08-05,
3,Savannah,savannah_metro,GA,18,231,2026-08-05,2026-08-05,
3,Springfield MO,springfield_metro,MO,18,257,2026-08-05,2026-08-05,
3,St. Louis,stlouis_metro,MO,36,619,2026-08-05,2026-08-05,
3,Tucson,tucson_metro,AZ,24,312,2026-08-05,2026-08-05,
3,West Palm Beach,westpalm_metro,FL,30,487,2026-08-05,2026-08-05,
4,Albany,albany_metro,NY,18,346,2026-08-06,2026-08-06,
4,Atlantic City,atlanticcity_metro,NJ,24,283,2026-08-06,2026-08-06,
4,Augusta,augusta_metro,GA,18,249,2026-08-06,2026-08-06,
4,Birmingham,birmingham_metro,AL,18,301,2026-08-06,2026-08-06,
4,Buffalo,buffalo_metro,NY,18,198,2026-08-06,2026-08-06,
4,Chattanooga,chattanooga_metro,TN,18,237,2026-08-06,2026-08-06,
4,Colorado Springs,coloradosprings_metro,CO,18,184,2026-08-06,2026-08-06,
4,Columbia SC,columbiasc_metro,SC,18,187,2026-08-06,2026-08-06,
4,Corpus Christi,corpuschristi_metro,TX,18,235,2026-08-06,2026-08-06,
4,Dayton,dayton_metro,OH,18,232,2026-08-06,2026-08-06,
4,El Paso,elpaso_metro,TX,18,176,2026-08-06,2026-08-06,
4,Fort Collins,fortcollins_metro,CO,18,341,2026-08-06,2026-08-06,
4,Grand Rapids,grandrapids_metro,MI,18,339,2026-08-06,2026-08-06,
4,Greensboro,greensboro_metro,NC,18,346,2026-08-06,2026-08-06,
4,Greenville SC,greenvillesc_metro,SC,18,312,2026-08-06,2026-08-06,
4,Hartford,hartford_metro,CT,18,235,2026-08-06,2026-08-06,
4,Huntsville,huntsville_metro,AL,18,323,2026-08-06,2026-08-06,
4,Indianapolis,indianapolis_metro,IN,30,450,2026-08-06,2026-08-06,
4,Knoxville,knoxville_metro,TN,18,290,2026-08-06,2026-08-06,
4,Louisville,louisville_metro,KY,24,294,2026-08-06,2026-08-06,
4,McAllen / RGV,mcallen_metro+mcallen_deep,TX,60,698,2026-08-06,2026-08-06,multi-slug metro (mcallen_metro+mcallen_deep)
4,Montgomery,montgomery_metro,AL,18,292,2026-08-06,2026-08-06,
4,Naperville,naperville_metro,IL,18,173,2026-08-06,2026-08-06,
4,New Haven,newhaven_metro,CT,18,262,2026-08-06,2026-08-06,
4,Oklahoma City,okc_metro,OK,18,359,2026-08-06,2026-08-06,
4,Reno,reno_metro,NV,18,183,2026-08-06,2026-08-06,
4,Richmond,richmond_metro,VA,24,266,2026-08-06,2026-08-06,
4,Rochester,rochester_metro,NY,18,218,2026-08-06,2026-08-06,
4,Spokane,spokane_metro,WA,18,249,2026-08-06,2026-08-06,
4,Springfield MA,springfieldma_metro,MA,18,197,2026-08-06,2026-08-06,
4,Stamford,stamford_metro,CT,18,351,2026-08-06,2026-08-06,
4,Tacoma,tacoma_metro,WA,18,237,2026-08-06,2026-08-06,
4,Tulsa,tulsa_metro,OK,18,298,2026-08-06,2026-08-06,
4,Virginia Beach,virginiabeach_metro,VA,24,461,2026-08-06,2026-08-06,
4,Worcester,worcester_metro,MA,18,206,2026-08-06,2026-08-06,
